,Season,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,G_steamer,GS_steamer,IP_steamer,K/9_steamer,BB/9_steamer,HR/9_steamer,BABIP_steamer,LOB%_steamer,GB%_steamer,ERA_steamer,FIP_steamer,WAR_steamer,G_zips,GS_zips,IP_zips,K/9_zips,BB/9_zips,HR/9_zips,BABIP_zips,LOB%_zips,GB%_zips,ERA_zips,FIP_zips,WAR_zips
0,2021,Adam Wainwright,STL,65.2,78.25,86.3373015873016,76.31643192488262,,,127.2814606741573,97.24782608695652,,,99.2374193548387,103.45709677419352,101.40225806451612,Adam Wainwright,2233,425794,38.3854061627907,49.2487201984127,53.20412723004695,,,62.356079185393256,42.65316,,54.06626767741936,41.34441594623656,55.60500816129032,-0.1423607741935484,4.231896612903226,38.107902558139536,34.1345982936508,49.17917051643192,,,51.30082980337078,40.930264782608695,,97.54767441860464,107.19166666666668,100.61737089201876,,,104.38342696629212,96.59565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022,Adam Wainwright,STL,206.1,77.61839464882944,81.20961761297796,84.8617469879518,,,141.46920849420846,86.34410256410256,,,102.41752712923382,103.90381453469256,102.07342979283126,Adam Wainwright,2233,425794,41.44534297658863,55.13074139049825,52.77670837349397,,,64.49787461389961,58.038117384615376,,54.83855939374184,39.77800004237289,58.82169565189047,-0.1341826368970012,4.0627483116036505,35.249953913043484,32.48314079953651,48.70526579819277,,,51.092127673745175,38.88872887179489,,100.36220735785952,103.92607184241017,102.49006024096384,,,106.54942084942084,99.53641025641024,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023,Adam Wainwright,STL,191.2,80.5641638225256,82.34247990815156,90.55446428571427,,,144.18572916666668,93.4910052910053,,,104.12563025210088,104.0938590820944,102.16037491919847,Adam Wainwright,2233,425794,46.00700518771332,51.544421848450064,49.96501744897959,,,68.23597378125,45.41590476190476,,51.4066669103096,35.43281645068624,57.30989127673158,0.0454513692946058,4.034499447813597,33.087542559726955,25.45446793340988,46.94055770408164,,,47.36183318749998,39.73236798941799,,96.8443686006826,105.79977037887484,102.66403061224491,,,107.95083333333336,93.7904761904762,,,26.0,26.0,154.0,6.51,2.63,1.18,0.297,70.90%,44.90%,4.36,4.36,1.2,26.0,26.0,154.2,6.81,2.73,1.22,0.287,74.30%,,3.96,4.41,1.0
3,2024,Adam Wainwright,STL,101.0,79.83136094674558,86.50261682242991,106.57487046632126,,83.25,129.25218216318785,65.53820224719102,,,102.93682669789226,99.06826697892272,96.53413348946135,Adam Wainwright,2233,425794,48.815026568047344,46.86357906542056,51.18837694300517,,20.0,60.39825690702087,27.895575955056184,,44.40255777196044,33.81880175683536,51.01280297265853,0.4736639906922629,5.040858638743456,40.47963556213018,33.614051570093466,40.50463479274612,,41.026935,39.804889810246685,37.7607293258427,,93.76331360946745,98.54018691588786,98.6261658031088,,77.95,101.6618595825427,84.12359550561797,,,0.1754,0.1754,1.0,5.5035,2.8413,1.425,0.300223,0.693156,0.431331,5.05998,5.15057,-0.000139139,22.0,22.0,121.7,5.69433,3.106,1.33114,0.298995,0.702211,,4.88085,5.04633,0.563297
4,2021,Zack Greinke,HOU,67.0,92.75644171779142,89.2,,,99.32411764705884,110.97639751552796,121.55646551724138,,,103.26656596173216,103.00966767371602,103.49093655589124,Zack Greinke,1943,425844,52.34439529652352,44.97737,,,57.53368352941176,60.23274807453417,50.05120288793105,,47.103500933962266,32.666418207547174,56.31797529245283,0.3224862641509434,4.929166726415095,35.34060734151329,20.0,,,26.003253176470587,34.43928403726708,53.02792887931034,,101.37259713701432,142.5,,,103.65823529411762,104.42608695652171,105.37370689655174,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,Zack Greinke,HOU,171.0,83.35062801932366,83.31208053691275,109.8,,99.941592920354,101.87464454976303,109.10650263620389,,,94.59337239940524,102.29106757800346,100.48678175943324,Zack Greinke,1943,425844,59.90388835748792,42.645521208053694,,,51.48419129793511,63.49298793838862,53.44117602811949,,46.91043071012805,31.5673034652697,57.70672307334109,0.3748976173845556,4.826369216142802,32.08945405797101,36.685902617449656,,,27.14500191740413,34.87836234597157,46.98211195079086,,102.5080193236715,98.87852348993287,85.7,,103.95663716814158,103.00781990521324,101.71687170474516,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,Zack Greinke,KCR,137.0,80.9593103448276,66.56862745098039,100.11976744186047,,119.32857142857144,96.454329004329,98.25695187165772,,,92.09969162995591,103.59233480176212,99.8647577092511,Zack Greinke,1943,425844,62.00368967816091,51.04259568627451,52.82275148255814,,52.63799595238096,63.47576707792207,50.96779045454545,,47.84846899207747,32.21330594630281,60.1812918661972,0.2725264700704224,4.375111505281691,35.228177310344826,38.41051803921569,38.131472965116274,,35.762888869047615,32.92382222943723,43.53831727272728,,104.0835632183908,107.56666666666668,101.38168604651165,,104.59583333333332,105.73744588744589,100.07433155080211,,,24.0,24.0,138.0,5.57,2.04,1.27,0.304,69.30%,43.30%,4.66,4.47,1.1,26.0,26.0,139.2,5.54,2.0,1.22,0.294,72.40%,,4.19,4.36,1.1
7,2024,Zack Greinke,KCR,142.1,72.21986417657044,76.35919540229884,100.44102564102566,,94.29549549549547,95.78429487179486,84.24634146341462,,,84.62803201155783,104.0193772564003,100.18603886326872,Zack Greinke,1943,425844,62.23829806451611,59.40035405172414,66.13921326923077,,55.82775078828829,56.9741867628205,56.145510704607055,,50.84656738406123,35.51330923007654,62.24958826654662,0.074081418280054,4.441484227825304,34.938226468590834,37.52654123563218,40.96748224358974,,43.59326563063063,33.85237448717949,38.40565544715447,,103.00305602716467,105.5454022988506,112.88141025641026,,102.85000000000002,97.34743589743591,108.52249322493223,,,11.34,11.34,63.125,6.24428,1.84406,1.449,0.299578,0.70331,0.43,4.6274,4.6717,0.574303,26.0,24.0,129.7,5.55127,2.2899,1.31843,0.300469,0.677966,,4.85736,4.75851,0.935342
8,2022,Ervin Santana,KCR,65.1,50.83590814196242,,,,106.99257246376813,,47.30857142857142,,,79.71749764816555,96.19520225776108,92.90206961429917,Ervin Santana,3200,429722,41.32623254697286,80.0,,,50.54572052536232,,56.06119542857143,,40.39285004703668,37.467543941674506,47.92025251175918,0.7934041204139228,5.454128767638758,35.207230167014615,44.50313,,,41.49738822463768,,31.941397142857145,,94.18079331941546,,,,98.1876811594203,,92.20285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021,Yusmeiro Petit,OAK,21.2,84.15522388059702,,92.08777777777776,,,111.22941176470589,122.99122807017542,,,96.28184713375796,103.9076433121019,97.1315286624204,Yusmeiro Petit,4020,433589,48.78565902985075,,50.62965322222222,,,62.06618147058823,41.53652105263159,,44.51327558730158,32.03327444444445,51.78906387301589,0.4954163492063491,5.188561841269841,30.940105597014924,,32.640825222222226,,,51.197811176470594,37.58203894736842,,97.46641791044776,,109.55444444444446,,,125.53235294117646,97.29473684210528,,,,,,,,,,,,,,,,,,,,,,,,,,
